CO2 (g/s),CO (g/s),HC (g/s),NOx (g/s),vel (mph),fuel (g/s),engine (rpm),elevation (m),phase_num
2.470317,0.007912,0.001976,0.065456,0,0.7722,649.35,297.6,1
2.453924,0.00793,0.001987,0.063324,0,0.771,650.45,297.6,1
2.462095,0.007947,0.00198,0.062839,0,0.7689,649.75,297.6,1
2.459749,0.008036,0.001984,0.062983,0,0.7639,650.25,297.6,1
2.474286,0.008004,0.001978,0.062962,0,0.7705,649.575,297.6,1
2.458556,0.007923,0.001965,0.062106,0,0.7705,649.975,297.6,1
2.467344,0.007959,0.001958,0.062531,0,0.7738,650.175,297.6,1
2.463249,0.007937,0.001978,0.063107,0,0.7705,650.025,297.6,1
2.46139,0.007953,0.001992,0.063319,0,0.7627,649.875,297.6,1
2.452878,0.007932,0.001977,0.063327,0,0.7676,649.475,297.6,1
2.471745,0.007956,0.001975,0.063709,0,0.7705,649.625,297.6,1
2.472698,0.007917,0.001988,0.062513,0,0.7738,650.775,297.6,1
2.458579,0.007908,0.001986,0.061626,0,0.7626,649.75,297.6,1
2.453231,0.007886,0.001971,0.062115,0,0.771,649.825,297.6,1
2.466869,0.007963,0.001964,0.062726,0,0.7691,649.575,297.6,1
2.461704,0.007962,0.001965,0.063136,0,0.7675,649.55,297.6,1
2.45117,0.007912,0.001964,0.062921,0,0.763,654,297.6,1
2.425407,0.007887,0.001946,0.061402,0,0.7265,649.525,297.6,1
2.419528,0.007914,0.001934,0.061296,0,0.7361,650.45,297.6,1
2.392364,0.007885,0.001938,0.060946,0,0.73,649,297.6,1
2.374391,0.007849,0.001944,0.061627,0,0.723,650.8,297.6,1
2.356626,0.007801,0.001943,0.059453,0,0.7246,650,297.6,1
2.356639,0.007801,0.001948,0.059117,0,0.7295,649.375,297.6,1
2.349651,0.007769,0.001961,0.05956,0,0.7344,650.5,297.6,1
2.344073,0.007746,0.001955,0.059838,0,0.7295,648.95,297.6,1
2.329399,0.007715,0.001954,0.058627,0,0.7295,651.35,297.6,1
2.340413,0.007727,0.00197,0.059055,0,0.7197,650.55,297.6,1
2.330319,0.007726,0.001968,0.058507,0,0.7328,649.4,297.6,1
2.344404,0.007705,0.001969,0.060143,0,0.7215,650,297.6,1
2.356155,0.007685,0.001965,0.061164,0,0.7393,649.525,297.6,1
2.342069,0.007714,0.001948,0.059709,0,0.7248,651.25,297.33,1
2.341299,0.007686,0.001939,0.059635,0,0.7215,648.775,297.3,1
2.337043,0.007718,0.001954,0.059739,0,0.7182,650.425,297.3,1
2.314505,0.007748,0.001957,0.060036,0,0.7182,649.375,297.3,1
2.312144,0.00773,0.001954,0.060294,0,0.7215,649.575,297.3,1
2.334886,0.007745,0.001958,0.059968,0,0.7248,651.575,297.3,1
2.332494,0.00775,0.001968,0.06046,0,0.7232,649.1,297.75,1
2.310932,0.007663,0.001985,0.059504,0,0.7135,650.325,297.8,1
2.299276,0.007627,0.001982,0.058533,0,0.7182,650.3,297.89,1
2.295734,0.007706,0.00197,0.059252,0,0.7182,649.675,297.9,1
2.308365,0.007728,0.00199,0.058382,0,0.7135,650.3,297.99,1
2.291298,0.007703,0.001991,0.057992,0,0.7233,649.5,298,1
2.265632,0.007709,0.001983,0.058142,0,0.7135,650.775,298,1
2.297266,0.007726,0.001999,0.059302,0,0.7135,649.05,298,1
2.296816,0.007783,0.001983,0.057791,0,0.7037,650.725,298,1
2.279111,0.00775,0.001987,0.05709,0,0.7251,649.25,298,1
2.285741,0.007694,0.002002,0.059341,0,0.697,650.825,298,1
2.266299,0.007806,0.002,0.059279,0,0.7332,649.35,298,1
2.263578,0.007807,0.001979,0.057942,0,0.7071,649.2,297.73,1
2.280297,0.007747,0.002009,0.058227,0,0.7215,651.1,297.7,1
2.299719,0.007772,0.002028,0.058002,0,0.7137,649.45,297.7,1
2.284217,0.007701,0.002037,0.058172,0,0.6988,650.15,297.7,1
2.308522,0.007662,0.002043,0.058485,0,0.73,649.45,297.16,1
2.316951,0.007692,0.00204,0.059956,0,0.689,649.575,297.1,1
2.297473,0.007712,0.002031,0.058707,0,0.7233,650.45,297.1,1
2.287859,0.007656,0.002024,0.058043,0,0.7215,648.65,297.1,1
2.273099,0.007759,0.002017,0.057473,0,0.7101,649.375,296.92,1
2.286421,0.007806,0.002005,0.057147,0,0.7348,650.375,296.9,1
2.298093,0.007787,0.001999,0.058058,0,0.7215,649.275,296.81,1
2.307242,0.007767,0.002012,0.058221,0,0.7444,649.725,296.8,1
2.305269,0.007709,0.00201,0.058696,0,0.7412,650.075,296.62,1
2.315092,0.007738,0.002002,0.059171,0,0.738,649.075,296.6,1
2.341691,0.007766,0.002009,0.058269,0,0.7348,650.25,296.42,1
2.341807,0.007777,0.002008,0.058461,0,0.7246,650.2,296.4,1
2.343421,0.007715,0.002008,0.059162,0,0.738,648.975,296.13,1
2.350687,0.007695,0.002009,0.058802,0,0.7444,649.45,296.1,1
2.349158,0.007743,0.00201,0.059598,0,0.7514,650.9,295.92,1
2.347505,0.007719,0.002014,0.05956,0,0.738,648.8,295.9,1
2.347484,0.0077,0.002033,0.059256,0,0.7399,650.2,295.9,1
2.342974,0.007726,0.002017,0.0587,0,0.7431,650.575,295.9,1
2.344022,0.007715,0.002003,0.058814,0,0.738,648.65,295.72,1
2.365615,0.007712,0.002025,0.058569,0,0.7514,650.725,295.7,1
2.351329,0.007698,0.002045,0.057661,0,0.7412,649.7,295.52,1
2.355027,0.007658,0.002037,0.05931,0,0.738,649.725,295.5,1
2.381494,0.007652,0.002018,0.060198,0,0.7367,649.825,295.41,1
2.390419,0.007718,0.002012,0.058846,0,0.7497,650.75,295.4,1
2.375101,0.007689,0.002027,0.058979,0,0.738,649.025,295.31,1
2.358534,0.007702,0.002025,0.059432,0,0.7563,650.55,295.3,1
